"Marca de temps","Participant code (e.g., p01)","How many people do they know from the audience","Age","Gender","Nationality","How often do you solve Sudoku puzzles? ","How comfortable do you generally feel performing or being watched by others? ","Have you regularly performed in front of an audience (e.g., sports, theater, music, presentations)? ","If yes, how often have you performed in front of an audience? "
"2025/10/30 12:01:46 p. m. CET","02","2","27","Male","Greek","Never","2","Yes","Sometimes"
"2025/10/30 12:20:10 p. m. CET","03","1","26","Male","Danish","Occasionally","2","No",""
"2025/10/30 12:20:10 p. m. CET","01","2","25","Male","German","Sometimes (monthly)","3","No",""
"2025/10/30 3:49:39 p. m. CET","04","1","24","Female","Portuguese","Never","1","Yes","Sometimes"
"2025/10/30 4:19:47 p. m. CET","05","2","28","Male","German","Often (weekly)","3","No",""
"2025/11/02 7:02:20 p. m. CET","06","2","24","Male","italian","Never","3","Yes","Sometimes"
"2025/11/02 7:03:59 p. m. CET","07","2","25","Female","Polish","Occasionally","2","Yes","Sometimes"
"2025/11/02 7:05:02 p. m. CET","08","2","24","Male","italian","Occasionally","4","Yes","Very often"
"2025/11/02 7:06:07 p. m. CET","09","2","26","Male","italian","Occasionally","4","Yes","Often"
"2025/11/05 3:21:19 p. m. CET","10","2","26","Male","Danish","Occasionally","4","Yes","Very often"
"2025/11/09 1:21:07 p. m. CET","12","2","34","Male","British","Occasionally","4","Yes","Often"
"2025/11/09 3:37:45 p. m. CET","P14","3","28","Male","Italian","Occasionally","2","No",""
"2025/11/09 3:39:32 p. m. CET","13","3","31","Male","German ","Never","3","Yes","Often"
"2025/11/09 3:57:32 p. m. CET","P15","3","25","Female","Italy","Never","2","No",""
"2025/11/09 4:01:21 p. m. CET","16","1","24","Female","Italy","Occasionally","3","No",""
"2025/11/09 4:19:43 p. m. CET","18","2","26","Male","Italy","Occasionally","2","No",""
"2025/11/09 4:34:41 p. m. CET","17","3","26","Male","Italy","Never","4","Yes","Sometimes"
"2025/11/09 6:22:31 p. m. CET","19","2","24","Female","italian","Occasionally","2","Yes","Sometimes"
"2025/11/09 6:33:37 p. m. CET","20","2","23","Female","Danish","Occasionally","3","Yes","Sometimes"
"2025/11/09 7:00:53 p. m. CET","21","2","25","Male","spanish","Never","3","No",""
"2025/11/09 7:04:01 p. m. CET","22","2","24","Female","Polish","Occasionally","1","Yes","Often"
"2025/11/09 7:08:32 p. m. CET","23","3","26","Male","Italian","Occasionally","5","Yes","Rarely"
"2025/11/09 7:14:45 p. m. CET","11","2","26","Male","Irish","Sometimes (monthly)","2","No","Rarely"
