Timestamp,Participant,Condition,Order,Difficulty,Satisfaction,Nervousness,Time_raw,Time_minutes
2025/10/30 11:47:57 a. m. CET,02,Alone,First,2,3,4,00:10:54,10.9
2025/10/30 12:00:14 p. m. CET,02,Audience,Second,2,3,4,00:10:48,10.8
2025/10/30 12:11:56 p. m. CET,01,Audience,First,3,3,1,00:07:50,7.833333333333333
2025/10/30 12:18:53 p. m. CET,01,Alone,Second,2,3,1,00:05:46,5.766666666666667
2025/10/30 3:23:41 p. m. CET,03,Audience,First,3,1,4,00:14:31,14.516666666666667
2025/10/30 3:43:32 p. m- CET,03,Alone," ""Second"""," ""2"""," ""3"""," ""2"""," ""00:10:44""",
2025/10/30 3:41:32 p. m. CET,04,Audience,First,3,4,4,15:18,15.3
2025/10/30 3:48:50 p. m. CET,04,Alone,Second,2,5,1,00:06:30,6.5
2025/10/30 4:10:55 p. m. CET,05,Alone,First,2,4,1,00:07:59,7.983333333333333
2025/10/30 4:18:44 p. m. CET,05,Audience,Second,1,4,2,00:06:42,6.7
2025/11/02 6:18:18 p. m. CET,06,Alone,First,4,2,3,00:18:49,18.816666666666666
2025/11/02 6:18:56 p. m. CET,07,Alone,First,3,3,1,00:22:43,22.716666666666665
2025/11/02 6:28:44 p. m. CET,08,Alone,First,4,1,2,00:19:49,19.816666666666666
2025/11/02 6:41:49 p. m. CET,09,Alone,First,3,3,3,00:18:53,18.883333333333333
2025/11/02 6:44:55 p. m. CET,07,Audience,Second,3,2,2,00:18:36,18.6
2025/11/02 6:45:49 p. m. CET,08,Audience,Second,2,2,2,00:14:53,14.883333333333333
2025/11/02 7:01:18 p. m. CET,06,Audience,Second,4,3,3,00:13:00,13.0
2025/11/02 7:09:38 p. m. CET,09,Audience,Second,3,4,3,00:16:01,16.016666666666666
2025/11/05 3:07:45 p. m. CET,10,Audience,First,1,3,3,00:12:55,12.916666666666666
2025/11/05 3:19:24 p. m. CET,10,Alone,Second,1,3,2,00:10:22,10.366666666666667
2025/11/06 6:39:25 p. m. CET,11,Alone,First,2,1,3,00:11:52,11.866666666666667
2025/11/06 6:45:56 p. m. CET,12,Alone,First,4,2,3,00:19:26,19.433333333333334
2025/11/06 7:10:57 p. m. CET,11,Audience,Second,4,3,4,00:15:15,15.25
2025/11/06 7:16:04 p. m. CET,12,Audience,Second,3,3,3,00:20:16,20.266666666666666
2025/11/06 7:16:52 p. m. CET,13,Audience,First,3,2,4,00:20:38,20.633333333333333
2025/11/09 3:23:27 p. m. CET,14,Alone,First,1,3,3,00:05:57,5.95
2025/11/09 3:49:01 p. m. CET,15,Alone,First,2,3,1,00:07:33,7.55
2025/11/09 3:53:38 p. m. CET,16,Audience,First,2,3,2,00:07:56,7.933333333333334
2025/11/09 3:59:03 p. m. CET,15,Audience,Second,2,4,2,00:07:13,7.216666666666667
2025/11/09 4:00:06 p. m. CET,16,Alone,Second,1,3,1,04:33,4.55
2025/11/09 4:02:52 p. m. CET,14,Audience,Second,2,2,4,00:10:50,10.833333333333334
2025/11/09 4:10:03 p. m. CET,18,Alone,First,2,1,2,4:51,4.85
2025/11/09 4:12:55 p. m. CET,17,Audience,First,2,4,1,00:11:10,11.166666666666666
2025/11/09 4:18:15 p. m. CET,18,Audience,Second,3,1,3,00:06:39,6.65
2025/11/09 4:33:20 p. m. CET,17,Alone,Second,5,1,4,00:19:30,19.5
2025/11/09 6:01:40 p. m. CET,19,Alone,First,2,3,2,00:11:26,11.433333333333334
2025/11/09 6:08:59 p. m. CET,20,Audience,First,3,3,2,00:17:59,17.983333333333334
2025/11/09 6:21:58 p. m. CET,19,Audience,Second,2,3,3,00:10:58,10.966666666666667
2025/11/09 6:22:50 p. m. CET,21,Alone,First,4,3,2,00:17:00,17.0
2025/11/09 6:32:50 p. m. CET,20,Alone,Second,1,4,1,00:08:21,8.35
2025/11/09 6:43:48 p. m. CET,23,Alone,First,1,3,1,00:06:56,6.933333333333334
2025/11/09 6:46:14 p. m. CET,22,Audience,First,4,3,5,00:22:52,22.866666666666667
2025/11/09 7:00:09 p. m. CET,21,Audience,Second,3,3,2,00:12:10,12.166666666666666
2025/11/09 7:02:58 p. m. CET,22,Alone,Second,1,4,1,00:07:58,7.966666666666667
2025/11/09 7:07:44 p. m. CET,23,Audience,Second,1,3,1,00:05:14,5.233333333333333
2025/11/09 9:30:23 p. m. CET,13,Alone,Second,4,1,1,00:21:34,21.566666666666666
